"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Akin, Keegan",669211,"BAL","FF","4-Seam Fastball",1,7,"695",56,"180","0.215","0.392","0.291",28.1,30,24.4,"0.189","0.34","0.27",41.8
"Blanco, Ronel",669854,"HOU","CH","Changeup",-0.2,-1,"608",22.1,"180","0.188","0.356","0.285",34.3,32.2,23.7,"0.196","0.296","0.262",29.8
"Steele, Justin",657006,"CHC","SL","Slider",1.2,7,"608",29.7,"180","0.16","0.243","0.201",28.2,31.7,21.3,"0.182","0.26","0.217",26.7
"Kelly, Kevin",687330,"TB","SI","Sinker",1.6,10,"635",61.5,"179","0.255","0.376","0.304",13.9,16.8,18.8,"0.263","0.396","0.31",43.5
"Lawrence, Justin",664875,"COL","SI","Sinker",-2.8,-18,"629",58.2,"178","0.392","0.629","0.493",16.5,6.2,11,"0.354","0.542","0.439",50
"Jansen, Kenley",445276,"BOS","FC","Cutter",0.9,6,"674",84.1,"177","0.21","0.344","0.283",28.4,28.2,26.5,"0.212","0.379","0.296",39.1
"Taillon, Jameson",592791,"CHC","FF","4-Seam Fastball",0,0,"732",29.5,"177","0.291","0.503","0.363",14.7,15.8,13.1,"0.303","0.559","0.384",49.6
"Sears, JP",676664,"OAK","ST","Sweeper",0.3,2,"710",24.9,"176","0.239","0.387","0.289",21,18.2,15.4,"0.228","0.401","0.289",36.3
"Finnegan, Kyle",640448,"WSH","FF","4-Seam Fastball",-0.1,-1,"721",67.6,"176","0.286","0.429","0.347",19.9,19.9,13.7,"0.286","0.43","0.342",48.4
"Bello, Brayan",678394,"BOS","ST","Sweeper",-0.6,-4,"753",27.8,"176","0.269","0.404","0.336",34.4,28.4,22.4,"0.262","0.398","0.331",37.6
"López, Pablo",641154,"MIN","ST","Sweeper",-0.4,-3,"654",21.9,"176","0.239","0.436","0.321",33.1,33,21.6,"0.196","0.33","0.258",35.5
"Robertson, David",502085,"TEX","FC","Cutter",2.2,17,"768",63.4,"175","0.163","0.209","0.239",30.8,37.7,27,"0.176","0.262","0.25",39.8
"Skubal, Tarik",669373,"DET","SI","Sinker",1.5,9,"584",20.6,"174","0.207","0.305","0.245",16,24.7,23.6,"0.214","0.312","0.251",36.9
"Rainey, Tanner",663432,"WSH","FF","4-Seam Fastball",-0.5,-3,"666",70.9,"174","0.255","0.49","0.376",19.7,16.1,14.7,"0.237","0.517","0.371",44.3
"Marsh, Alec",679525,"KC","FF","4-Seam Fastball",0.4,3,"799",37,"173","0.197","0.375","0.304",22,28.3,20.6,"0.211","0.397","0.312",37.9
"Harris, Hogan",663687,"OAK","FF","4-Seam Fastball",0.1,1,"679",56,"172","0.262","0.411","0.365",17,16.9,14.9,"0.306","0.538","0.419",47.8
"Mikolas, Miles",571945,"STL","SL","Slider",-0.6,-4,"656",24.3,"171","0.301","0.506","0.356",16.7,16.4,15.1,"0.305","0.464","0.338",40.3
"Pivetta, Nick",601713,"BOS","ST","Sweeper",-0.4,-3,"613",25.7,"170","0.22","0.415","0.276",35.1,35.3,24.4,"0.19","0.33","0.232",27.4
